content_final,actual,predicted
tegas omong bener cuman lengkap penyalahgunaan label stailes sesuai sertifikasi halal haram makasih,Negatif,Negatif
sertifikasi halal bpjph umkm indonesia saing bikin nama bangsa harum pasar dunia,Negatif,Negatif
tau haram halal hidup bisa otoritas ngasih sertifikasi halal nugasin situ tolol,Negatif,Negatif
produk makan wajib urus sertifikasi halal produk babi halal,Negatif,Negatif
sertifikat halal kunci buka pintu ekspor bangga lihat produk indonesia tembus pasar internasional,Negatif,Negatif
rusindo makan ringan opak bpom halal,Positif,Positif
bener banget sertifikasi halal seolaholah alat cari duit mayoritas makan indo udah halal,Negatif,Negatif
guyssss usaha makananminuman didaftarin sertifikasi halal bgt yaaa free yaaaa pungut biayaaa,Negatif,Negatif
aice krim cokelat vanila stroberi colors bpom halal,Positif,Positif
laku usaha mikro makan minum milik sertifikasi halal gratis hubung kabupaten kota bekas,Negatif,Negatif
tuju ngasih perhati makan halal udah biar halal sertifikasi,Negatif,Negatif
vaseline lip rosy lips care bpom halal,Positif,Positif
sulit daging ular anggap haram islam hewan racun buas tuntun sembelih syariah maytah najis sertifikasi halal muilppom bahan haram thailand unggul pasar nonhalalnya,Negatif,Negatif
event lumayan lengkap talkshow kuliner halal live music cocok cari giat pekan ajar sertifikasi halal,Negatif,Negatif
industri halal sertifikasi daya saing kualitas produk indonesia,Negatif,Negatif
bri bantu laku usaha makan minum raih sertifikasi halal,Negatif,Negatif
intiny mempermasalahkn jual produk haram hak orang niaga info gamblang spy umat islam mengkonsumsimya,Negatif,Negatif
kepala daerah malang raya wali kota malang wahyu hidayat bupati malang sanusi ambil sikap fatwa haram sound horeg keluar majelis ulama indonesia mui jawa timur,Netral,Netral
khong guan biskuit aneka red bpom halal,Positif,Positif
sengkarut urus haji tdk tau kisruh produk haram dpt sertifikasi halal tdk tau pungli sana kemenag tdk tau tau dpt setor duit bejibun sinipaham,Negatif,Negatif
produk haram import ttp masuk koq indonesia tnp label halal konsumen,Negatif,Negatif
bener banget udah percaya halal makan indonesia sertifikasi halal kadang cari duit,Negatif,Negatif
petisi haidilao aju sertifikasi halal bumbu instant kemas,Negatif,Negatif
halo kait isu bakso remaja gading solo tweet updatenya spt dispangtan temu bahan nonhalal pemkot solo damping urus sertifikasi halal tweet asli takedown,Negatif,Negatif
cek sgrow box produk tinggi badan bpom aman halal varian strawberry harga dapat shopee,Negatif,Negatif
bri bantu usaha makan minum raih sertifikasi halal,Negatif,Negatif
rangkum hasil kesah jamin produk halal kerja keras majelis ulama indonesia mui desak,Netral,Netral
wow video tarik ampuh diethy obat diet cepat kurus turun efek samping bpom halal cek produk,Positif,Negatif
mas nanya riba gausah berteletele bank konvensional haram produk nya haram,Negatif,Negatif
langkah lanjut wajib sertifikasi halal jalan produk halal wajib jamin tenang percaya,Negatif,Negatif
dukung perintah sertifikasi halal gratis bikin umk berani kembang konsumen percaya,Negatif,Negatif
ahlan sahlan allamah alhabib umar bin hafizh indonesia solo oktober jakarta oktober majelis almuwasholah baina ulama almuslimin,Netral,Netral
avoskin your skin bae salicylic acid zinc bpom halal,Positif,Positif
sertifikasi halal lppom tahu beda fatwa sertifikasi audit bahan baku alat proses produksi kontaminasi haram jaga harmonis keluar sertifikat haram,Negatif,Negatif
hai kakk makasih udah mimin bantu jelasin kakk insya allah qurban online kitabisa sah majelis ulama indonesia mui fatwa nomor qurban online hukum sah penuh syarat rukun qurban,Netral,Netral
langkah cepat implementasi wajib sertifikasi halal nasional produk konsumsi masyarakat gizi halal thayyib,Negatif,Negatif
usahawan pempengaruh lantan babit dadah polis lantan kota bharu mac polis lantan dedah tingkat kes libat asas produk pempengaruh media sosial aktiviti edar dadah ubah wang haram,Negatif,Negatif
nyata dedy tuai kecam keras majelis ulama indonesia mui wakil sekretaris jenderal sekjen majelis ulama indonesia mui bidang hukum ikhsan abdullah nilai nyata bentuk ketidakwarasan,Netral,Netral
jajar kpu kota probolinggo selamat sukses selenggara musyawarah daerah majelis ulama indonesia kota probolinggo moga musyawarah lahir pimpin putus baik teguh,Netral,Netral
cosrx advanced snail mucin power essence bpom halal,Positif,Positif
halal asumsi klaim lisan tulis atribut halal produk sah sertifikat halal,Negatif,Negatif
sertifikasi halal kuat percaya pasar tingkat standar kualitas produk negeri,Negatif,Negatif
mui desak kesah ruu produk jamin halal,Negatif,Negatif
iring tingkat sadar konsumen halal produk makan minum milik sertifikasi halal umkm loh milik sertifikasi halal bantu umkm luas pasar produk,Negatif,Negatif
jerat pidana baca lengkap,Negatif,Negatif
skrg gwe indonesia nulis ibadah sembah abdi ulama nulis islam dosa nya maksiat rugi orang ulama nulis syirik pecah belah,Negatif,Negatif
btn resmi luncur program biaya rumah subsidi bas syariah guru ngaji aktivis islam pegawai ormas islam lingkung majelis ulama indonesia mui,Netral,Netral
jasa konsultan izin halal urus izin halal perlu usaha konsultan legal indo bantu urus izin sertifikasi halal produk makan minum kosmetik barang lengkap,Negatif,Negatif
bedain halalharam legalilegal produk haram khusus konsumen non muslim anggap ilegal,Negatif,Negatif
bpjph wajib sertifikasi halal produk makan makan non halal terang babe haikal,Negatif,Negatif
ajaib gaslight mending sertifikat haram asumsi logika cacat clueless halamharam hebat banget kalo model ayam goreng widuran sukarela daftar sertifikasi haram,Negatif,Negatif
niat minum lengkap potong niat minum rupa haram jatuh hukum produk tasyabbuh,Negatif,Negatif
bikin sertifikasi haram efisien varian batas kalo cari ribet biaya yaah puja kerang ajaib,Negatif,Negatif
saluttt liat babe haikal smenjak beliau pimpin sertifikasi halal hebat saluttt yok daftrkan krena skrg udah mudah biaya jangkau,Negatif,Negatif
daftar menang anugerah syiar ramadan jakarta bimas islam menteri agama kemenag komisi siar indonesia kpi majelis ulama indonesia mui umum menang anugerah syiar ramadan asr lengkap,Netral,Netral
khong guan biskuit aneka bpom halal,Positif,Positif
paroti soes kering isi krim cokelat soes snack cream chocolate bpom halal,Positif,Positif
komisi fatwa mui dalam sebab makan sertifikasi halal kandung babi,Negatif,Negatif
dewan pimpin majelis ulama indonesia dirgahayu republik indonesia satu daulat rakyat sejahtera indonesia maju,Netral,Netral
raja terbit bon kat bank pusat bank pusat cetak fiat haram kat raja raja fiat haram bina sekolah this the end produk,Negatif,Negatif
alas selubung cekal nyanyi inul daratista goyang ngebor malaysia popularitas inul daratista anggap buka peluang produk indonesia dominasi pasar malaysia masuk infiltrasi mui haram,Negatif,Negatif
sertifikasi halal kuat percaya konsumen beli produk,Negatif,Negatif
sie muka bella hadid cocok pake produk wardaaah karna muka bella hadid haram,Negatif,Negatif
sayang kalo kelompok orang indonesia blg sertifikasi halal makan literally usaha tmpt wisata usaha andal wisatawan pdhl orang nuntut produk haram hilang cmn opsi halal,Negatif,Negatif
minimal benerin regulasi sertifikasi halal nya,Negatif,Negatif
indonesia kembang sertifikasi halal tekstil emg hijab haram halal bahan proses buat nder proses buat kain salah proses nya sikat,Negatif,Negatif
halal center uin palembang sertifikasi dapur sppg,Negatif,Negatif
kalo beli produk makan minum liat sertifikasi halal nya tdk kalo kek gin sertifikasi halal nya kalo kandung haram nya halal ngeri sedap nya,Negatif,Negatif
moga program sertifikasi halal karna manfaat dangat rasa masyarakay,Negatif,Negatif
goblok bang orang gada sertifikasi halal jamin produk haram produk haram sertifikasi halal ngapain pohon mangga sertifikasi nya ikan buah sayur sertifikasi liat proses bahan tambah,Negatif,Negatif
majelis ulama indonesia mui tegas dukung merdeka palestina adil daulat awal proses damai genjatan senjata kerjasama perintah indonesia,Netral,Netral
bukti kualitas bagus sertifikasi halal percaya keren,Negatif,Negatif
kulkas sertifikasi halal coba kulkas nya isi babi sertifikasi halal khan haram simpang nya khan ngak mikir lembaga serfikat halal,Negatif,Negatif
btn resmi luncur program biaya rumah subsidi bas syariah guru ngaji aktivis islam pegawai ormas islam lingkung majelis ulama indonesia mui program kolaborasi perintah btn tapera mui,Netral,Netral
bpjph dukung penuh umkm dukung cepat sertifikasi produk halal,Negatif,Negatif
satgas awas sertifikasi halal kabupaten kudus laksana awas serentak tahap usaha skala tengah jumat giat cakup awas produk makan minum hasil sembelih,Negatif,Negatif
badan sertifikasi haram halal uang terima jabat,Negatif,Negatif
sertifikasi halal makan gratis bebas biaya apa klo biaya administrasi tanyain dalil sertifikasi halal mesti bayar rakyat udh bayar pajak peres,Negatif,Negatif
produk haram label halal  kunci awas lapang cek sampel produk rutin kala sifat dada tindak langgar daftar produk pangan olah kandung babi temu bpjph,Negatif,Negatif
ketua muhammadiyah anwar abbas tanggap kait fatwa majelis ulama indonesia mui jawa timur haram sound horeg,Netral,Netral
langkah bpjph gandeng kampus strategi jitu cepat inovasi sertifikasi halal,Negatif,Negatif
